msg_id,sender,receiver,payload_size_B,time_send_ms,time_receive_ms,actual_delay_ms,online_predicted_delay_ms,cluster_predicted_delay_ms,weighted_predicted_delay_ms,sender_average_outgoing_delay_ms,sender_average_incoming_delay_ms,sender_num_messages_sent_simultaneously,receiver_average_outgoing_delay_ms,receiver_average_incoming_delay_ms,receiver_num_messages_sent_simultaneously,network_average_delay_ms,network_num_messages_in_transit,network_num_busy_links,network_num_network_nodes,network_num_messages_sent_simultaneously
msg_0,node0,node1,315,1000,1059.0,59.0,,,,39.27272727272727,,49,,,0,39.27272727272727,5,5,50,49
msg_1,node0,node2,315,1000,1051.0,51.0,,,,35.48571428571429,,49,,,0,35.48571428571429,14,14,50,49
msg_2,node0,node3,315,1000,1039.0,39.0,,,,28.35,,49,,,0,28.35,29,29,50,49
msg_3,node0,node4,315,1000,1058.0,58.0,,,,39.27272727272727,,49,,,0,39.27272727272727,5,5,50,49
msg_4,node0,node5,315,1000,1056.0,56.0,,,,38.476190476190474,,49,,,0,38.476190476190474,7,7,50,49
msg_5,node0,node6,315,1000,1026.0,26.0,,,,21.571428571428573,,49,,,0,21.571428571428573,42,42,50,49
msg_6,node0,node7,315,1000,1045.0,45.0,,,,31.384615384615383,,49,,,0,31.384615384615383,23,23,50,49
msg_7,node0,node8,315,1000,1045.0,45.0,,,,31.384615384615383,,49,,,0,31.384615384615383,23,23,50,49
msg_8,node0,node9,315,1000,1044.0,44.0,,,,30.88,,49,,,0,30.88,24,24,50,49
msg_9,node0,node10,316,1000,1054.0,54.0,,,,36.78947368421053,,49,,,0,36.78947368421053,11,11,50,49
msg_10,node0,node11,317,1000,1027.0,27.0,,,,22.125,,49,,,0,22.125,41,41,50,49
msg_11,node0,node12,317,1000,1047.0,47.0,,,,32.827586206896555,,49,,,0,32.827586206896555,20,20,50,49
msg_12,node0,node13,317,1000,1043.0,43.0,,,,29.869565217391305,,49,,,0,29.869565217391305,26,26,50,49
msg_13,node0,node14,317,1000,1056.0,56.0,,,,38.883720930232556,,49,,,0,38.883720930232556,6,6,50,49
msg_14,node0,node15,317,1000,1049.0,49.0,,,,33.74193548387097,,49,,,0,33.74193548387097,18,18,50,49
msg_15,node0,node16,317,1000,1055.0,55.0,,,,36.78947368421053,,49,,,0,36.78947368421053,11,11,50,49
