msg_id,sender,receiver,payload_size_B,time_send_ms,time_receive_ms,actual_delay_ms,online_predicted_delay_ms,cluster_predicted_delay_ms,weighted_predicted_delay_ms,sender_average_outgoing_delay_ms,sender_average_incoming_delay_ms,sender_num_messages_sent_simultaneously,receiver_average_outgoing_delay_ms,receiver_average_incoming_delay_ms,receiver_num_messages_sent_simultaneously,network_average_delay_ms,network_num_messages_in_transit,network_num_busy_links,network_num_network_nodes,network_num_messages_sent_simultaneously
msg_0,node4,node0,315,187460,187508,48,,,,,,4,,,0,,4,4,5,4
msg_1,node4,node1,315,187460,187519,59,,,,48.0,,4,,,0,48.0,3,3,5,4
msg_2,node4,node2,315,187460,187530,70,,,,48.0,,4,,,0,48.0,3,3,5,4
msg_3,node4,node3,315,187460,187541,81,,,,59.0,,4,,,0,59.0,1,1,5,4
msg_4,node4,node0,315,364652,364700,48,,,,64.5,,4,,48.0,0,64.5,4,4,5,4
msg_5,node4,node1,315,364652,364711,59,,,,64.5,,4,,59.0,0,64.5,4,4,5,4
msg_6,node4,node2,315,364652,364722,70,,,,64.5,,4,,70.0,0,64.5,4,4,5,4
msg_7,node4,node3,315,364652,364733,81,,,,62.142857142857146,,4,,81.0,0,62.142857142857146,1,1,5,4
msg_8,node4,node0,315,368146,368193,47,,,,64.5,,4,,48.0,0,64.5,4,4,5,4
msg_9,node4,node1,315,368146,368204,58,,,,62.55555555555556,,4,,59.0,0,62.55555555555556,3,3,5,4
msg_10,node4,node2,316,368146,368215,69,,,,62.1,,4,,70.0,0,62.1,2,2,5,4
msg_11,node4,node3,316,368146,368226,80,,,,62.72727272727273,,4,,81.0,0,62.72727272727273,1,1,5,4
msg_12,node4,node0,316,373466,373515,49,,,,64.16666666666667,,4,,47.666666666666664,0,64.16666666666667,4,4,5,4
msg_13,node4,node1,316,373466,373526,60,,,,64.16666666666667,,4,,58.666666666666664,0,64.16666666666667,4,4,5,4
msg_14,node4,node2,316,373466,373537,71,,,,62.785714285714285,,4,,69.66666666666667,0,62.785714285714285,2,2,5,4
