msg_id,sender,receiver,payload_size_B,time_send_ms,time_receive_ms,actual_delay_ms,online_predicted_delay_ms,cluster_predicted_delay_ms,weighted_predicted_delay_ms,sender_average_outgoing_delay_ms,sender_average_incoming_delay_ms,sender_num_messages_sent_simultaneously,receiver_average_outgoing_delay_ms,receiver_average_incoming_delay_ms,receiver_num_messages_sent_simultaneously,network_average_delay_ms,network_num_messages_in_transit,network_num_busy_links,network_num_network_nodes,network_num_messages_sent_simultaneously
msg_0,node4,node0,415,8658,8659.0,1.0,,,,,,4,,,0,,4,4,5,4
msg_1,node4,node1,415,8658,8661.0,3.0,,,,1.0,,4,,,0,1.0,3,3,5,4
msg_2,node4,node2,415,8658,8661.0,3.0,,,,1.0,,4,,,0,1.0,3,3,5,4
msg_3,node4,node3,415,8658,8661.0,3.0,,,,2.3333333333333335,,4,,,0,2.3333333333333335,1,1,5,4
msg_4,node4,node0,415,121466,121468.0,2.0,,,,2.5,,4,,1.0,0,2.5,4,4,5,4
msg_5,node4,node1,415,121466,121469.0,3.0,,,,2.5,,4,,3.0,0,2.5,4,4,5,4
msg_6,node4,node2,415,121466,121469.0,3.0,,,,2.5,,4,,3.0,0,2.5,2,2,5,4
msg_7,node4,node3,415,121466,121470.0,4.0,,,,2.5714285714285716,,4,,3.0,0,2.5714285714285716,1,1,5,4
msg_8,node4,node0,415,208044,208046.0,2.0,,,,2.75,,4,,1.5,0,2.75,4,4,5,4
msg_9,node4,node1,415,208044,208047.0,3.0,,,,2.6666666666666665,,4,,3.0,0,2.6666666666666665,3,3,5,4
msg_10,node4,node2,416,208044,208047.0,3.0,,,,2.7,,4,,3.0,0,2.7,2,2,5,4
msg_11,node4,node3,416,208044,208048.0,4.0,,,,2.727272727272727,,4,,3.5,0,2.727272727272727,1,1,5,4
msg_12,node4,node0,416,225712,225715.0,3.0,,,,2.8333333333333335,,4,,1.6666666666666667,0,2.8333333333333335,4,4,5,4
msg_13,node4,node1,416,225712,225716.0,4.0,,,,2.8333333333333335,,4,,3.0,0,2.8333333333333335,4,4,5,4
msg_14,node4,node2,416,225712,225716.0,4.0,,,,2.9285714285714284,,4,,3.0,0,2.9285714285714284,2,2,5,4
msg_15,node4,node3,416,225712,225717.0,5.0,,,,3.0,,4,,3.6666666666666665,0,3.0,1,1,5,4
msg_16,node4,node0,416,266757,266759.0,2.0,,,,3.125,,4,,2.0,0,3.125,4,4,5,4
msg_17,node4,node1,416,266757,266760.0,3.0,,,,3.125,,4,,3.25,0,3.125,4,4,5,4
msg_18,node4,node2,416,266757,266760.0,3.0,,,,3.0555555555555554,,4,,3.25,0,3.0555555555555554,2,2,5,4
msg_19,node4,node3,416,266757,266760.0,3.0,,,,3.0526315789473686,,4,,4.0,0,3.0526315789473686,1,1,5,4
msg_20,node4,node0,416,302572,302573.0,1.0,,,,3.05,,4,,2.0,0,3.05,4,4,5,4
msg_21,node4,node1,416,302572,302574.0,2.0,,,,2.9523809523809526,,4,,3.2,0,2.9523809523809526,3,3,5,4
msg_22,node4,node2,416,302572,302574.0,2.0,,,,2.909090909090909,,4,,3.2,0,2.909090909090909,2,2,5,4
msg_23,node4,node3,416,302572,302575.0,3.0,,,,2.869565217391304,,4,,3.8,0,2.869565217391304,1,1,5,4
msg_24,node4,node0,416,365835,365836.0,1.0,,,,2.875,,4,,1.8333333333333333,0,2.875,4,4,5,4
msg_25,node4,node1,416,365835,365837.0,2.0,,,,2.875,,4,,3.0,0,2.875,4,4,5,4
msg_26,node4,node2,416,365835,365837.0,2.0,,,,2.769230769230769,,4,,3.0,0,2.769230769230769,2,2,5,4
msg_27,node4,node3,416,365835,365837.0,2.0,,,,2.740740740740741,,4,,3.6666666666666665,0,2.740740740740741,1,1,5,4
msg_28,node4,node0,416,459110,459112.0,2.0,,,,2.7142857142857144,,4,,1.7142857142857142,0,2.7142857142857144,4,4,5,4
msg_29,node4,node1,416,459110,459113.0,3.0,,,,2.689655172413793,,4,,2.857142857142857,0,2.689655172413793,3,3,5,4
msg_30,node4,node2,416,459110,459113.0,3.0,,,,2.7,,4,,2.857142857142857,0,2.7,2,2,5,4
msg_31,node4,node3,416,459110,459114.0,4.0,,,,2.7,,4,,3.4285714285714284,0,2.7,2,2,5,4
msg_32,node4,node0,416,465022,465025.0,3.0,,,,2.75,,4,,1.75,0,2.75,4,4,5,4
msg_33,node4,node1,416,465022,465026.0,4.0,,,,2.75,,4,,2.875,0,2.75,4,4,5,4
msg_34,node4,node2,416,465022,465026.0,4.0,,,,2.7941176470588234,,4,,2.875,0,2.7941176470588234,2,2,5,4
msg_35,node4,node3,416,465022,465027.0,5.0,,,,2.8285714285714287,,4,,3.5,0,2.8285714285714287,1,1,5,4
msg_36,node4,node0,416,466749,466750.0,1.0,,,,2.888888888888889,,4,,1.8888888888888888,0,2.888888888888889,4,4,5,4
msg_37,node4,node1,416,466749,466751.0,2.0,,,,2.888888888888889,,4,,3.0,0,2.888888888888889,4,4,5,4
msg_38,node4,node2,416,466749,466751.0,2.0,,,,2.8157894736842106,,4,,3.0,0,2.8157894736842106,2,2,5,4
msg_39,node4,node3,416,466749,466751.0,2.0,,,,2.7948717948717947,,4,,3.6666666666666665,0,2.7948717948717947,1,1,5,4
msg_40,node4,node0,416,575135,575137.0,2.0,,,,2.775,,4,,1.8,0,2.775,4,4,5,4
msg_41,node4,node1,416,575135,575138.0,3.0,,,,2.7560975609756095,,4,,2.9,0,2.7560975609756095,3,3,5,4
msg_42,node4,node2,416,575135,575138.0,3.0,,,,2.761904761904762,,4,,2.9,0,2.761904761904762,2,2,5,4
msg_43,node4,node3,416,575135,575139.0,4.0,,,,2.761904761904762,,4,,3.5,0,2.761904761904762,2,2,5,4
