msg_id,sender,receiver,payload_size_B,time_send_ms,time_receive_ms,actual_delay_ms,online_predicted_delay_ms,cluster_predicted_delay_ms,weighted_predicted_delay_ms,sender_average_outgoing_delay_ms,sender_average_incoming_delay_ms,sender_num_messages_sent_simultaneously,receiver_average_outgoing_delay_ms,receiver_average_incoming_delay_ms,receiver_num_messages_sent_simultaneously,network_average_delay_ms,network_num_messages_in_transit,network_num_busy_links,network_num_network_nodes,network_num_messages_sent_simultaneously
msg_0,node1,node0,223,360000,360000.0,0.0,,,,,,1,,,0,,4,4,5,4
msg_1,node2,node0,223,360000,360001.0,1.0,,,,,,1,,0.0,0,0.0,3,3,5,4
msg_2,node3,node0,223,360000,360001.0,1.0,,,,,,1,,0.0,0,0.0,3,3,5,4
msg_3,node4,node0,223,360000,360002.0,2.0,,,,,,1,,0.6666666666666666,0,0.6666666666666666,1,1,5,4
msg_4,node0,node2,223,420001,720000.0,299999.0,,,,,1.0,2,1.0,,0,1.0,6,6,5,2
msg_5,node0,node3,223,420001,720000.0,299999.0,,,,,1.0,2,1.0,,0,1.0,6,6,5,2
msg_6,node1,node0,223,720000,720000.0,0.0,,,,0.0,,1,,1.0,0,1.0,6,6,5,4
msg_7,node2,node0,223,720000,720074.0,74.0,,,,1.0,299999.0,1,299999.0,0.8,0,85714.57142857143,3,3,5,4
msg_8,node3,node0,223,720000,720074.0,74.0,,,,1.0,299999.0,1,299999.0,13.0,0,75009.5,2,2,5,4
msg_9,node4,node0,223,720000,720075.0,75.0,,,,2.0,,1,299999.0,13.0,0,75009.5,2,2,5,4
msg_10,node0,node1,223,780000,1080000.0,300000.0,,,,199999.66666666666,28.375,1,0.0,,0,54566.0,5,5,5,1
msg_11,node0,node4,223,780075,780076.0,1.0,,,,299999.0,28.375,1,38.5,,0,60022.5,2,2,5,1
msg_12,node1,node0,223,1080000,1080000.0,0.0,,,,0.0,,1,199999.66666666666,28.375,0,54566.0,5,5,5,4
msg_13,node2,node0,223,1080000,1080083.0,83.0,,,,37.5,299999.0,1,199999.66666666666,28.375,0,54566.0,5,5,5,4
msg_14,node3,node0,223,1080000,1080083.0,83.0,,,,37.5,299999.0,1,224999.75,31.0,0,64307.78571428572,2,2,5,4
msg_15,node4,node0,223,1080000,1080084.0,84.0,,,,38.5,1.0,1,224999.75,35.72727272727273,0,60026.13333333333,1,1,5,4
msg_16,node0,node2,223,1140083,1140083.0,0.0,,,,224999.75,39.75,1,52.666666666666664,299999.0,0,56279.75,1,1,5,1
msg_17,node1,node0,223,1440000,1440000.0,0.0,,,,0.0,300000.0,1,179999.8,39.75,0,52969.17647058824,4,4,5,4
msg_18,node2,node0,223,1440000,1440002.0,2.0,,,,52.666666666666664,149999.5,1,179999.8,32.0,0,45023.95,1,1,5,4
msg_19,node3,node0,223,1440000,1440001.0,1.0,,,,52.666666666666664,299999.0,1,179999.8,36.69230769230769,0,50026.444444444445,3,3,5,4
msg_20,node4,node0,223,1440000,1440002.0,2.0,,,,53.666666666666664,1.0,1,179999.8,36.69230769230769,0,50026.444444444445,3,3,5,4
msg_21,node0,node2,223,1500002,1800000.0,299998.0,,,,179999.8,30.125,1,40.0,149999.5,0,42880.04761904762,5,5,5,1
msg_22,node1,node0,223,1800000,1800000.0,0.0,,,,0.0,300000.0,1,179999.8,30.125,0,42880.04761904762,5,5,5,4
msg_23,node2,node0,223,1800000,1800013.0,13.0,,,,40.0,149999.5,1,179999.8,30.125,0,42880.04761904762,5,5,5,4
msg_24,node3,node0,223,1800000,1800013.0,13.0,,,,39.75,299999.0,1,199999.5,27.5,0,50020.5,2,2,5,4
msg_25,node4,node0,223,1800000,1800014.0,14.0,,,,40.75,1.0,1,199999.5,26.736842105263158,0,48020.2,1,1,5,4
msg_26,node0,node1,223,1860000,1860000.0,0.0,,,,199999.5,26.1,1,0.0,300000.0,0,46173.807692307695,1,1,5,1
msg_27,node0,node2,223,1860013,1860013.0,0.0,,,,171428.14285714287,26.1,1,34.6,199999.0,0,44463.666666666664,1,1,5,1
msg_28,node1,node0,223,2160000,2160000.0,0.0,,,,0.0,150000.0,1,149999.625,26.1,0,42875.67857142857,4,4,5,4
msg_29,node2,node0,223,2160000,2160002.0,2.0,,,,34.6,149999.25,1,149999.625,22.82608695652174,0,38726.51612903226,1,1,5,4
msg_30,node3,node0,223,2160000,2160001.0,1.0,,,,34.4,299999.0,1,149999.625,26.1,0,42875.67857142857,4,4,5,4
msg_31,node4,node0,223,2160000,2160002.0,2.0,,,,35.4,1.0,1,149999.625,23.772727272727273,0,40017.333333333336,2,2,5,4
msg_32,node0,node4,223,2220002,2520001.0,299999.0,,,,149999.625,21.08,1,29.833333333333332,1.0,0,36379.51515151515,4,4,5,1
msg_33,node1,node0,223,2520000,2520000.0,0.0,,,,0.0,150000.0,1,149999.625,21.958333333333332,0,37516.375,5,5,5,4
msg_34,node2,node0,223,2520000,2520011.0,11.0,,,,29.166666666666668,149999.25,1,166666.22222222222,21.08,0,44133.029411764706,3,3,5,4
msg_35,node3,node0,223,2520000,2520011.0,11.0,,,,28.833333333333332,299999.0,1,166666.22222222222,21.08,0,44133.029411764706,3,3,5,4
msg_36,node4,node0,223,2520000,2520012.0,12.0,,,,29.833333333333332,150000.0,1,166666.22222222222,20.333333333333332,0,41681.805555555555,1,1,5,4
msg_37,node0,node1,223,2580000,2580000.0,0.0,,,,166666.22222222222,20.035714285714285,1,0.0,150000.0,0,40555.59459459459,1,1,5,1
msg_38,node0,node4,224,2580012,2580013.0,1.0,,,,149999.6,20.035714285714285,1,27.285714285714285,150000.0,0,39488.34210526316,1,1,5,1
msg_39,node1,node0,223,2880000,2880000.0,0.0,,,,0.0,100000.0,1,136363.36363636365,20.035714285714285,0,38475.846153846156,4,4,5,4
msg_40,node2,node0,223,2880000,2880002.0,2.0,,,,26.571428571428573,149999.25,1,136363.36363636365,19.344827586206897,0,37513.95,3,3,5,4
msg_41,node3,node0,223,2880000,2880002.0,2.0,,,,26.285714285714285,299999.0,1,136363.36363636365,19.344827586206897,0,37513.95,3,3,5,4
msg_42,node4,node0,223,2880000,2880003.0,3.0,,,,27.285714285714285,100000.33333333333,1,136363.36363636365,19.344827586206897,0,37513.95,3,3,5,4
msg_43,node0,node1,224,2940000,3240000.0,300000.0,,,,124999.83333333333,17.75,1,0.0,100000.0,0,34103.77272727273,5,5,5,1
msg_44,node0,node4,224,2940003,2940004.0,1.0,,,,136363.36363636365,17.75,1,24.25,100000.33333333333,0,34896.86046511628,2,2,5,1
msg_45,node1,node0,223,3240000,3240000.0,0.0,,,,0.0,100000.0,1,124999.83333333333,17.75,0,34103.77272727273,5,5,5,4
msg_46,node2,node0,223,3240000,3240085.0,85.0,,,,23.5,149999.25,1,138461.38461538462,17.21212121212121,0,39142.739130434784,3,3,5,4
msg_47,node3,node0,223,3240000,3240085.0,85.0,,,,23.25,299999.0,1,138461.38461538462,19.205882352941178,0,38311.72340425532,2,2,5,4
msg_48,node4,node0,223,3240000,3240087.0,87.0,,,,24.25,75000.5,1,138461.38461538462,19.205882352941178,0,38311.72340425532,2,2,5,4
msg_49,node0,node2,224,3300085,3600000.0,299915.0,,,,128571.35714285714,22.916666666666668,1,30.333333333333332,149999.25,0,36016.48,5,5,5,1
msg_50,node0,node4,224,3300087,3300088.0,1.0,,,,138461.38461538462,22.916666666666668,1,31.22222222222222,75000.5,0,36751.489795918365,2,2,5,1
msg_51,node1,node0,223,3600000,3600000.0,0.0,,,,0.0,150000.0,1,128571.35714285714,22.916666666666668,0,36016.48,5,5,5,4
msg_52,node2,node0,223,3600000,3600086.0,86.0,,,,30.333333333333332,179982.4,1,139994.26666666666,23.973684210526315,0,39638.20754716981,2,2,5,4
msg_53,node3,node0,223,3600000,3600086.0,86.0,,,,30.11111111111111,299999.0,1,139994.26666666666,23.973684210526315,0,39638.20754716981,2,2,5,4
msg_54,node4,node0,223,3600000,3600086.0,86.0,,,,31.22222222222222,60000.6,1,139994.26666666666,22.2972972972973,0,40398.82692307692,3,3,5,4
msg_55,node0,node1,224,3660000,3960000.0,300000.0,,,,139994.26666666666,27.075,1,0.0,150000.0,0,38199.94545454546,5,5,5,1
msg_56,node1,node0,224,3960000,3960000.0,0.0,,,,0.0,150000.0,1,139994.26666666666,27.075,0,38199.94545454546,5,5,5,4
msg_57,node2,node0,224,3960000,3960114.0,114.0,,,,35.9,179982.4,1,139994.26666666666,27.075,0,38199.94545454546,5,5,5,4
msg_58,node3,node0,224,3960000,3960114.0,114.0,,,,35.7,299999.0,1,149994.625,28.5,0,41398.46551724138,2,2,5,4
msg_59,node4,node0,224,3960000,3960115.0,115.0,,,,36.7,60000.6,1,149994.625,30.488372093023255,0,40698.72881355932,1,1,5,4
msg_60,node0,node1,224,4020000,4020000.0,0.0,,,,149994.625,32.40909090909091,1,0.0,180000.0,0,40022.333333333336,1,1,5,1
msg_61,node0,node2,224,4020114,4020114.0,0.0,,,,141171.41176470587,32.40909090909091,2,43.0,179982.4,0,39366.229508196724,2,2,5,2
msg_62,node0,node3,224,4020114,4020115.0,1.0,,,,133328.55555555556,32.40909090909091,2,42.81818181818182,299999.0,0,38731.290322580644,1,1,5,2
msg_63,node1,node0,224,4320000,4320000.0,0.0,,,,0.0,150000.0,1,126311.31578947368,32.40909090909091,0,38116.52380952381,4,4,5,4
msg_64,node2,node0,224,4320000,4320001.0,1.0,,,,43.0,149985.33333333334,1,126311.31578947368,32.40909090909091,0,38116.52380952381,4,4,5,4
msg_65,node3,node0,224,4320000,4320001.0,1.0,,,,42.81818181818182,150000.0,1,126311.31578947368,31.02173913043478,0,36943.723076923074,2,2,5,4
msg_66,node4,node0,224,4320000,4320002.0,2.0,,,,43.81818181818182,60000.6,1,126311.31578947368,30.382978723404257,0,36383.98484848485,1,1,5,4
msg_67,node0,node4,224,4380002,4680001.0,299999.0,,,,126311.31578947368,29.183673469387756,1,40.333333333333336,60000.6,0,35313.89705882353,4,4,5,1
msg_68,node1,node0,224,4680000,4680000.0,0.0,,,,0.0,150000.0,1,126311.31578947368,29.791666666666668,0,35840.97014925373,5,5,5,4
msg_69,node2,node0,224,4680000,4680085.0,85.0,,,,39.5,149985.33333333334,1,126311.31578947368,29.183673469387756,0,35313.89705882353,4,4,5,4
msg_70,node3,node0,224,4680000,4680085.0,85.0,,,,39.333333333333336,150000.0,1,134995.7,30.3,0,38591.84285714286,2,2,5,4
msg_71,node4,node0,224,4680000,4680086.0,86.0,,,,40.333333333333336,100000.33333333333,1,134995.7,31.372549019607842,0,38049.49295774648,1,1,5,4
msg_72,node1,node0,224,5040000,5040000.0,0.0,,,,0.0,150000.0,1,134995.7,32.42307692307692,0,37522.22222222222,4,4,5,4
msg_73,node2,node0,224,5040000,5040001.0,1.0,,,,43.0,149985.33333333334,1,134995.7,31.81132075471698,0,37008.21917808219,3,3,5,4
msg_74,node3,node0,224,5040000,5040001.0,1.0,,,,42.84615384615385,150000.0,1,134995.7,31.24074074074074,0,36508.12162162162,2,2,5,4
msg_75,node4,node0,224,5040000,5040002.0,2.0,,,,43.84615384615385,100000.33333333333,1,134995.7,31.24074074074074,0,36508.12162162162,2,2,5,4
msg_76,node0,node4,224,5100002,5400001.0,299999.0,,,,134995.7,30.178571428571427,1,40.857142857142854,100000.33333333333,0,35547.42105263158,5,5,5,1
msg_77,node1,node0,224,5400000,5400000.0,0.0,,,,0.0,150000.0,1,134995.7,30.178571428571427,0,35547.42105263158,5,5,5,4
msg_78,node2,node0,224,5400000,5400104.0,104.0,,,,40.0,149985.33333333334,1,142853.0,29.649122807017545,0,38482.08974358974,3,3,5,4
msg_79,node3,node0,224,5400000,5400104.0,104.0,,,,39.857142857142854,150000.0,1,142853.0,30.93103448275862,0,37996.29113924051,2,2,5,4
msg_80,node4,node0,224,5400000,5400106.0,106.0,,,,40.857142857142854,128571.57142857143,1,142853.0,30.93103448275862,0,37996.29113924051,2,2,5,4
msg_81,node0,node1,224,5460000,5460000.0,0.0,,,,142853.0,33.4,1,0.0,150000.0,0,37060.7037037037,1,1,5,1
msg_82,node0,node3,224,5460104,5760000.0,299896.0,,,,130431.04347826086,33.4,1,44.13333333333333,150000.0,0,36167.68674698795,5,5,5,1
msg_83,node0,node4,224,5460106,5460107.0,1.0,,,,136359.68181818182,33.4,1,45.2,128571.57142857143,0,36608.743902439026,2,2,5,1
msg_84,node1,node0,224,5760000,5760000.0,0.0,,,,0.0,128571.42857142857,1,130431.04347826086,33.4,0,36167.68674698795,5,5,5,4
msg_85,node2,node0,224,5760000,5760087.0,87.0,,,,44.266666666666666,149985.33333333334,1,137492.08333333334,33.725806451612904,0,38394.1976744186,2,2,5,4
msg_86,node3,node0,224,5760000,5760087.0,87.0,,,,44.13333333333333,199965.33333333334,1,137492.08333333334,34.57142857142857,0,37953.88505747126,1,1,5,4
msg_87,node4,node0,224,5760000,5760087.0,87.0,,,,45.2,112500.25,1,130431.04347826086,33.4,0,36167.68674698795,5,5,5,4
msg_88,node1,node0,224,6120000,6120000.0,0.0,,,,0.0,128571.42857142857,1,137492.08333333334,35.390625,0,37523.579545454544,4,4,5,4
msg_89,node2,node0,224,6120000,6120001.0,1.0,,,,46.9375,149985.33333333334,1,137492.08333333334,35.390625,0,37523.579545454544,4,4,5,4
msg_90,node3,node0,224,6120000,6120001.0,1.0,,,,46.8125,199965.33333333334,1,137492.08333333334,34.333333333333336,0,36689.73333333333,2,2,5,4
msg_91,node4,node0,224,6120000,6120002.0,2.0,,,,47.8125,112500.25,1,137492.08333333334,33.83582089552239,0,36286.56043956044,1,1,5,4
msg_92,node1,node0,224,6480000,6480000.0,0.0,,,,0.0,128571.42857142857,1,137492.08333333334,33.36764705882353,0,35892.163043478264,4,4,5,4
msg_93,node2,node0,224,6480000,6480001.0,1.0,,,,44.23529411764706,149985.33333333334,1,137492.08333333334,33.36764705882353,0,35892.163043478264,4,4,5,4
msg_94,node3,node0,224,6480000,6480001.0,1.0,,,,44.11764705882353,199965.33333333334,1,137492.08333333334,33.36764705882353,0,35892.163043478264,4,4,5,4
msg_95,node4,node0,224,6480000,6480002.0,2.0,,,,45.11764705882353,112500.25,1,137492.08333333334,31.985915492957748,0,34758.74736842105,1,1,5,4
msg_96,node0,node1,224,6540000,6840000.0,300000.0,,,,137492.08333333334,31.569444444444443,1,0.0,128571.42857142857,0,34396.697916666664,5,5,5,1
msg_97,node1,node0,224,6840000,6840000.0,0.0,,,,0.0,128571.42857142857,1,137492.08333333334,31.569444444444443,0,34396.697916666664,5,5,5,4
msg_98,node2,node0,224,6840000,6840106.0,106.0,,,,41.833333333333336,149985.33333333334,1,137492.08333333334,31.569444444444443,0,34396.697916666664,5,5,5,4
msg_99,node3,node0,224,6840000,6840106.0,106.0,,,,41.72222222222222,199965.33333333334,1,143992.4,32.148648648648646,0,36385.74747474748,2,2,5,4
msg_100,node4,node0,224,6840000,6840107.0,107.0,,,,42.72222222222222,112500.25,1,143992.4,33.13333333333333,0,36022.95,1,1,5,4
msg_101,node0,node4,224,6900107,7200001.0,299894.0,,,,143992.4,33.66233766233766,1,46.10526315789474,112500.25,0,35317.666666666664,4,4,5,1
msg_102,node1,node0,224,7200000,7200000.0,0.0,,,,0.0,150000.0,1,143992.4,34.10526315789474,0,35667.346534653465,5,5,5,4
msg_103,node2,node0,224,7200000,7200094.0,94.0,,,,45.21052631578947,149985.33333333334,1,143992.4,33.66233766233766,0,35317.666666666664,4,4,5,4
msg_104,node3,node0,224,7200000,7200094.0,94.0,,,,45.10526315789474,199965.33333333334,1,149988.61538461538,34.43589743589744,0,37522.980769230766,2,2,5,4
msg_105,node4,node0,224,7200000,7200095.0,95.0,,,,46.10526315789474,133321.77777777778,1,149988.61538461538,35.18987341772152,0,37166.514285714286,1,1,5,4
msg_106,node0,node1,224,7260000,7260000.0,0.0,,,,149988.61538461538,35.9375,1,0.0,150000.0,0,36816.78301886792,1,1,5,1
msg_107,node1,node0,224,7560000,7560000.0,0.0,,,,0.0,133333.33333333334,1,144433.4814814815,35.9375,0,36472.700934579436,4,4,5,4
msg_108,node2,node0,224,7560000,7560002.0,2.0,,,,47.65,149985.33333333334,1,144433.4814814815,35.9375,0,36472.700934579436,4,4,5,4
msg_109,node3,node0,224,7560000,7560002.0,2.0,,,,47.55,199965.33333333334,1,144433.4814814815,35.08536585365854,0,35803.49541284404,2,2,5,4
msg_110,node4,node0,224,7560000,7560003.0,3.0,,,,48.55,133321.77777777778,1,144433.4814814815,34.68674698795181,0,35478.027272727275,1,1,5,4
msg_111,node0,node1,224,7620000,7620000.0,0.0,,,,144433.4814814815,34.30952380952381,1,0.0,133333.33333333334,0,35158.43243243243,1,1,5,1
msg_112,node1,node0,224,7920000,7920000.0,0.0,,,,0.0,120000.0,1,139275.14285714287,34.30952380952381,0,34844.517857142855,4,4,5,4
msg_113,node2,node0,224,7920000,7920002.0,2.0,,,,45.476190476190474,149985.33333333334,1,139275.14285714287,33.90588235294118,0,34536.1592920354,3,3,5,4
msg_114,node3,node0,224,7920000,7920002.0,2.0,,,,45.38095238095238,199965.33333333334,1,139275.14285714287,33.90588235294118,0,34536.1592920354,3,3,5,4
msg_115,node4,node0,224,7920000,7920003.0,3.0,,,,46.38095238095238,133321.77777777778,1,139275.14285714287,33.172413793103445,0,33935.565217391304,1,1,5,4
msg_116,node1,node0,224,8280000,8280000.0,0.0,,,,0.0,120000.0,1,139275.14285714287,32.82954545454545,0,33643.043103448275,4,4,5,4
msg_117,node2,node0,224,8280000,8280002.0,2.0,,,,43.5,149985.33333333334,1,139275.14285714287,32.82954545454545,0,33643.043103448275,4,4,5,4
