msg_id,sender,receiver,payload_size_B,time_send_ms,time_receive_ms,actual_delay_ms,online_predicted_delay_ms,cluster_predicted_delay_ms,weighted_predicted_delay_ms,sender_average_outgoing_delay_ms,sender_average_incoming_delay_ms,sender_num_messages_sent_simultaneously,receiver_average_outgoing_delay_ms,receiver_average_incoming_delay_ms,receiver_num_messages_sent_simultaneously,network_average_delay_ms,network_num_messages_in_transit,network_num_busy_links,network_num_network_nodes,network_num_messages_sent_simultaneously
msg_0,node1,node0,223,360000,360000.0,0.0,,,,,,1,,,0,,9,9,10,9
msg_1,node2,node0,223,360000,360001.0,1.0,,,,,,1,,0.0,0,0.0,8,8,10,9
msg_2,node3,node0,223,360000,360001.0,1.0,,,,,,1,,0.0,0,0.0,8,8,10,9
msg_3,node4,node0,223,360000,360002.0,2.0,,,,,,1,,1.0,0,1.0,5,5,10,9
msg_4,node5,node0,223,360000,360002.0,2.0,,,,,,1,,1.2,0,1.2,4,4,10,9
msg_5,node6,node0,223,360000,360002.0,2.0,,,,,,1,,0.6666666666666666,0,0.6666666666666666,6,6,10,9
msg_6,node7,node0,223,360000,360002.0,2.0,,,,,,1,,1.2,0,1.2,4,4,10,9
msg_7,node8,node0,223,360000,360003.0,3.0,,,,,,1,,1.4285714285714286,0,1.4285714285714286,2,2,10,9
msg_8,node9,node0,223,360000,360003.0,3.0,,,,,,1,,1.625,0,1.625,1,1,10,9
msg_9,node0,node5,223,420002,420003.0,1.0,,,,,1.7777777777777777,1,2.0,,0,1.7777777777777777,1,1,10,1
msg_10,node1,node0,223,720000,720000.0,0.0,,,,0.0,,1,1.0,1.7777777777777777,0,1.7,9,9,10,9
msg_11,node2,node0,223,720000,720003.0,3.0,,,,1.0,,1,1.0,1.7692307692307692,0,1.7142857142857142,5,5,10,9
msg_12,node3,node0,223,720000,720004.0,4.0,,,,1.0,,1,1.0,1.9333333333333333,0,1.875,3,3,10,9
msg_13,node4,node0,223,720000,720004.0,4.0,,,,2.0,,1,1.0,1.9333333333333333,0,1.875,3,3,10,9
