msg_id,sender,receiver,payload_size_B,time_send_ms,time_receive_ms,actual_delay_ms,predicted_delay_ms,sender_average_outgoing_delay_ms,sender_average_incoming_delay_ms,sender_num_messages_sent_simultaneously,receiver_average_outgoing_delay_ms,receiver_average_incoming_delay_ms,receiver_num_messages_sent_simultaneously,network_average_delay_ms,network_num_messages_in_transit,network_num_busy_links,network_num_network_nodes,network_num_messages_sent_simultaneously
msg_0,node4,node0,315,145,198,53.0,,,,4,,,0,,4,4,5,4
msg_1,node4,node1,315,145,204,59.0,,53.0,,4,,,0,53.0,3,3,5,4
msg_2,node4,node2,315,145,215,70.0,,56.0,,4,,,0,56.0,2,2,5,4
msg_3,node4,node3,315,145,226,81.0,,56.0,,4,,,0,56.0,2,2,5,4
msg_4,node4,node0,315,2025,2078,53.0,,65.75,,4,,53.0,0,65.75,4,4,5,4
msg_5,node4,node1,315,2025,2084,59.0,,63.2,,4,,59.0,0,63.2,3,3,5,4
msg_6,node4,node2,315,2025,2095,70.0,,63.2,,4,,70.0,0,63.2,3,3,5,4
msg_7,node4,node3,315,2025,2106,81.0,,63.2,,4,,81.0,0,63.2,3,3,5,4
msg_8,node4,node0,315,3468,3521,53.0,,65.75,,4,,53.0,0,65.75,4,4,5,4
msg_9,node4,node1,315,3468,3527,59.0,,64.33333333333333,,4,,59.0,0,64.33333333333333,3,3,5,4
msg_10,node4,node2,316,3468,3538,70.0,,64.33333333333333,,4,,70.0,0,64.33333333333333,3,3,5,4
msg_11,node4,node3,316,3468,3549,81.0,,64.33333333333333,,4,,81.0,0,64.33333333333333,3,3,5,4
msg_12,node4,node0,316,3761,3814,53.0,,65.75,,4,,53.0,0,65.75,4,4,5,4
msg_13,node4,node1,316,3761,3820,59.0,,64.76923076923077,,4,,59.0,0,64.76923076923077,3,3,5,4
msg_14,node4,node2,316,3761,3831,70.0,,64.76923076923077,,4,,70.0,0,64.76923076923077,3,3,5,4
msg_15,node4,node3,316,3761,3842,81.0,,64.73333333333333,,4,,81.0,0,64.73333333333333,1,1,5,4
msg_16,node4,node0,316,4445,4498,53.0,,65.75,,4,,53.0,0,65.75,4,4,5,4
msg_17,node4,node1,316,4445,4504,59.0,,65.0,,4,,59.0,0,65.0,3,3,5,4
msg_18,node4,node2,316,4445,4515,70.0,,65.0,,4,,70.0,0,65.0,3,3,5,4
msg_19,node4,node3,316,4445,4526,81.0,,64.94736842105263,,4,,81.0,0,64.94736842105263,1,1,5,4
msg_20,node4,node0,316,5042,5095,53.0,,65.75,,4,,53.0,0,65.75,4,4,5,4
msg_21,node4,node1,316,5042,5101,59.0,,65.14285714285714,,4,,59.0,0,65.14285714285714,3,3,5,4
msg_22,node4,node2,316,5042,5112,70.0,,65.14285714285714,,4,,70.0,0,65.14285714285714,3,3,5,4
msg_23,node4,node3,316,5042,5123,81.0,,65.08695652173913,,4,,81.0,0,65.08695652173913,1,1,5,4
msg_24,node4,node0,316,6098,6151,,53.0,65.75,,4,,53.0,0,65.75,4,4,5,4
msg_25,node4,node1,316,6098,6153,,55.0,65.75,,4,,59.0,0,65.75,4,4,5,4
msg_26,node4,node2,316,6098,6168,,70.0,65.75,,4,,70.0,0,65.75,4,4,5,4
msg_27,node4,node3,316,6098,6178,,80.0,65.75,,4,,81.0,0,65.75,4,4,5,4
msg_28,node4,node0,316,7651,7704,,53.0,65.57142857142857,,4,,53.0,0,65.57142857142857,4,4,5,4
