msg_id,sender,receiver,payload_size_B,time_send_ms,time_receive_ms,actual_delay_ms,predicted_delay_ms,sender_average_outgoing_delay_ms,sender_average_incoming_delay_ms,sender_num_messages_sent_simultaneously,receiver_average_outgoing_delay_ms,receiver_average_incoming_delay_ms,receiver_num_messages_sent_simultaneously,network_average_delay_ms,network_num_messages_in_transit,network_num_busy_links,network_num_network_nodes,network_num_messages_sent_simultaneously
msg_0,node4,node0,315,145,198.0,53.0,,,,4,,,0,,4,4,5,4
msg_1,node4,node1,315,145,204.0,59.0,,53.0,,4,,,0,53.0,3,3,5,4
msg_2,node4,node2,315,145,215.0,70.0,,56.0,,4,,,0,56.0,2,2,5,4
msg_3,node4,node3,315,145,226.0,81.0,,56.0,,4,,,0,56.0,2,2,5,4
msg_4,node4,node0,315,2025,2078.0,53.0,,65.75,,4,,53.0,0,65.75,4,4,5,4
msg_5,node4,node1,315,2025,2084.0,59.0,,63.2,,4,,59.0,0,63.2,3,3,5,4
msg_6,node4,node2,315,2025,2095.0,70.0,,63.2,,4,,70.0,0,63.2,3,3,5,4
msg_7,node4,node3,315,2025,2106.0,81.0,,63.57142857142857,,4,,81.0,0,63.57142857142857,1,1,5,4
msg_8,node4,node0,315,3468,3521.0,53.0,,65.75,,4,,53.0,0,65.75,4,4,5,4
msg_9,node4,node1,315,3468,3527.0,59.0,,64.33333333333333,,4,,59.0,0,64.33333333333333,3,3,5,4
msg_10,node4,node2,316,3468,3538.0,70.0,,63.8,,4,,70.0,0,63.8,2,2,5,4
msg_11,node4,node3,316,3468,3549.0,81.0,,63.8,,4,,81.0,0,63.8,2,2,5,4
msg_12,node4,node0,316,3761,3815.0,54.0,,65.75,,4,,53.0,0,65.75,4,4,5,4
msg_13,node4,node1,316,3761,3821.0,60.0,,64.84615384615384,,4,,59.0,0,64.84615384615384,3,3,5,4
msg_14,node4,node2,316,3761,3832.0,71.0,,64.84615384615384,,4,,70.0,0,64.84615384615384,3,3,5,4
msg_15,node4,node3,316,3761,3843.0,82.0,,64.93333333333334,,4,,81.0,0,64.93333333333334,1,1,5,4
msg_16,node4,node0,316,4445,4499.0,54.0,,66.0,,4,,53.25,0,66.0,4,4,5,4
msg_17,node4,node1,316,4445,4505.0,60.0,,65.29411764705883,,4,,59.25,0,65.29411764705883,3,3,5,4
msg_18,node4,node2,316,4445,4516.0,71.0,,65.29411764705883,,4,,70.25,0,65.29411764705883,3,3,5,4
msg_19,node4,node3,316,4445,4527.0,82.0,,65.29411764705883,,4,,81.25,0,65.29411764705883,3,3,5,4
msg_20,node4,node0,316,5042,5095.0,53.0,,66.15,,4,,53.4,0,66.15,4,4,5,4
msg_21,node4,node1,316,5042,5101.0,59.0,,65.52380952380952,,4,,59.4,0,65.52380952380952,3,3,5,4
msg_22,node4,node2,316,5042,5112.0,70.0,,65.22727272727273,,4,,70.4,0,65.22727272727273,2,2,5,4
msg_23,node4,node3,316,5042,5123.0,81.0,,65.22727272727273,,4,,81.4,0,65.22727272727273,2,2,5,4
msg_24,node4,node0,316,6098,6151.0,53.0,,66.08333333333333,,4,,53.333333333333336,0,66.08333333333333,4,4,5,4
msg_25,node4,node1,316,6098,6157.0,59.0,,65.56,,4,,59.333333333333336,0,65.56,3,3,5,4
msg_26,node4,node2,316,6098,6168.0,70.0,,65.56,,4,,70.33333333333333,0,65.56,3,3,5,4
msg_27,node4,node3,316,6098,6179.0,81.0,,65.48148148148148,,4,,81.33333333333333,0,65.48148148148148,1,1,5,4
msg_28,node4,node0,316,7651,7705.0,54.0,,66.03571428571429,,4,,53.285714285714285,0,66.03571428571429,4,4,5,4
msg_29,node4,node1,316,7651,7711.0,60.0,,65.62068965517241,,4,,59.285714285714285,0,65.62068965517241,3,3,5,4
msg_30,node4,node2,316,7651,7722.0,71.0,,65.62068965517241,,4,,70.28571428571429,0,65.62068965517241,3,3,5,4
msg_31,node4,node3,316,7651,7733.0,82.0,,65.62068965517241,,4,,81.28571428571429,0,65.62068965517241,3,3,5,4
msg_32,node4,node0,316,7751,7799.0,48.0,,66.125,,4,,53.375,0,66.125,8,4,5,4
msg_33,node4,node1,316,7751,7810.0,59.0,,66.125,,4,,59.375,0,66.125,8,4,5,4
msg_34,node4,node2,316,7751,7821.0,70.0,,65.38235294117646,,4,,70.375,0,65.38235294117646,6,4,5,4
msg_35,node4,node3,316,7751,7865.0,114.0,,65.38235294117646,,4,,81.375,0,65.38235294117646,6,4,5,4
msg_36,node4,node0,316,7780,7832.0,52.0,,65.38235294117646,,4,,52.77777777777778,0,65.38235294117646,6,4,5,4
msg_37,node4,node1,316,7780,7843.0,63.0,,65.38235294117646,,4,,59.333333333333336,0,65.38235294117646,6,4,5,4
msg_38,node4,node2,316,7780,7854.0,74.0,,65.38235294117646,,4,,70.375,0,65.38235294117646,6,4,5,4
msg_39,node4,node3,316,7780,7865.0,85.0,,65.38235294117646,,4,,81.375,0,65.38235294117646,6,4,5,4
msg_40,node4,node0,316,9585,9638.0,53.0,,67.025,,4,,52.7,0,67.025,4,4,5,4
msg_41,node4,node1,316,9585,9644.0,59.0,,66.6829268292683,,4,,59.7,0,66.6829268292683,3,3,5,4
msg_42,node4,node2,316,9585,9655.0,70.0,,66.5,,4,,70.7,0,66.5,2,2,5,4
msg_43,node4,node3,316,9585,9666.0,81.0,81.0,66.5,,4,,85.0,0,66.5,2,2,5,4
msg_44,node4,node0,316,10152,10206.0,54.0,53.0,66.9090909090909,,4,,52.72727272727273,0,66.9090909090909,4,4,5,4
msg_45,node4,node1,316,10152,10212.0,60.0,59.0,66.62222222222222,,4,,59.63636363636363,0,66.62222222222222,3,3,5,4
msg_46,node4,node2,316,10152,10223.0,71.0,70.0,66.62222222222222,,4,,70.63636363636364,0,66.62222222222222,3,3,5,4
msg_47,node4,node3,316,10152,10234.0,82.0,82.0,66.62222222222222,,4,,84.63636363636364,0,66.62222222222222,3,3,5,4
msg_48,node4,node0,316,11590,11643.0,53.0,51.0,66.89583333333333,,4,,52.833333333333336,0,66.89583333333333,8,4,5,4
msg_49,node4,node1,316,11590,11654.0,64.0,59.0,66.3,,4,,59.666666666666664,0,66.3,6,3,5,4
msg_50,node4,node2,316,11590,11665.0,75.0,70.0,66.3,,4,,70.66666666666667,0,66.3,6,3,5,4
msg_51,node4,node3,316,11590,11676.0,86.0,82.0,66.3,,4,,84.41666666666667,0,66.3,6,3,5,4
msg_52,node4,node0,316,11592,11643.0,51.0,51.0,66.89583333333333,,4,,52.833333333333336,0,66.89583333333333,8,4,5,4
msg_53,node4,node1,316,11592,11654.0,62.0,59.0,66.3,,4,,59.666666666666664,0,66.3,6,3,5,4
msg_54,node4,node2,316,11592,11665.0,73.0,70.0,66.3,,4,,70.66666666666667,0,66.3,6,3,5,4
msg_55,node4,node3,316,11592,11676.0,84.0,82.0,66.3,,4,,84.41666666666667,0,66.3,6,3,5,4
msg_56,node4,node0,316,12180,12233.0,53.0,52.0,67.125,,4,,52.714285714285715,0,67.125,4,4,5,4
msg_57,node4,node1,316,12180,12239.0,59.0,59.0,66.87719298245614,,4,,60.142857142857146,0,66.87719298245614,3,3,5,4
msg_58,node4,node2,316,12180,12250.0,70.0,73.0,66.74137931034483,,4,,71.14285714285714,0,66.74137931034483,2,2,5,4
msg_59,node4,node3,316,12180,12261.0,81.0,81.0,66.74137931034483,,4,,84.5,0,66.74137931034483,2,2,5,4
msg_60,node4,node0,316,13460,13512.0,52.0,53.0,67.03333333333333,,4,,52.733333333333334,0,67.03333333333333,4,4,5,4
msg_61,node4,node1,316,13460,13518.0,58.0,59.0,66.78688524590164,,4,,60.06666666666667,0,66.78688524590164,3,3,5,4
msg_62,node4,node2,316,13460,13529.0,69.0,73.0,66.64516129032258,,4,,71.06666666666666,0,66.64516129032258,2,2,5,4
msg_63,node4,node3,316,13460,13540.0,80.0,81.0,66.64516129032258,,4,,84.26666666666667,0,66.64516129032258,2,2,5,4
msg_64,node4,node0,316,13720,13773.0,53.0,53.0,66.890625,,4,,52.6875,0,66.890625,4,4,5,4
msg_65,node4,node1,316,13720,13779.0,59.0,59.0,66.67692307692307,,4,,59.9375,0,66.67692307692307,3,3,5,4
msg_66,node4,node2,316,13720,13790.0,70.0,70.0,66.67692307692307,,4,,70.9375,0,66.67692307692307,3,3,5,4
msg_67,node4,node3,316,13720,13801.0,81.0,82.0,66.67692307692307,,4,,84.0,0,66.67692307692307,3,3,5,4
msg_68,node4,node0,316,16625,16677.0,52.0,53.0,66.82352941176471,,4,,52.705882352941174,0,66.82352941176471,4,4,5,4
msg_69,node4,node1,316,16625,16683.0,58.0,59.0,66.6086956521739,,4,,59.88235294117647,0,66.6086956521739,3,3,5,4
msg_70,node4,node2,316,16625,16694.0,69.0,70.0,66.6086956521739,,4,,70.88235294117646,0,66.6086956521739,3,3,5,4
msg_71,node4,node3,316,16625,16705.0,80.0,81.0,66.52112676056338,,4,,83.82352941176471,0,66.52112676056338,1,1,5,4
msg_72,node4,node0,316,18942,19000.0,58.0,49.0,66.70833333333333,,4,,52.666666666666664,0,66.70833333333333,8,4,5,4
msg_73,node4,node1,316,18942,19011.0,69.0,59.0,66.58904109589041,,4,,59.77777777777778,0,66.58904109589041,11,4,5,4
msg_74,node4,node2,316,18942,19033.0,91.0,72.0,66.38666666666667,,4,,70.77777777777777,0,66.38666666666667,9,4,5,4
msg_75,node4,node3,316,18942,19066.0,124.0,90.0,66.38666666666667,,4,,83.61111111111111,0,66.38666666666667,9,4,5,4
msg_76,node4,node0,316,18973,19022.0,49.0,53.0,66.58904109589041,,4,,52.94736842105263,0,66.58904109589041,11,4,5,4
msg_77,node4,node1,316,18973,19044.0,71.0,59.0,66.38666666666667,,4,,60.26315789473684,0,66.38666666666667,9,4,5,4
msg_78,node4,node2,316,18973,19055.0,82.0,72.0,66.38666666666667,,4,,70.77777777777777,0,66.38666666666667,9,4,5,4
msg_79,node4,node3,316,18973,19079.0,106.0,90.0,66.38666666666667,,4,,83.61111111111111,0,66.38666666666667,9,4,5,4
msg_80,node4,node0,316,19000,20098.0,1098.0,52.0,68.14285714285714,,4,,52.857142857142854,0,68.14285714285714,4,4,5,4
msg_81,node4,node1,316,19000,20104.0,1104.0,59.0,80.25882352941177,,4,,60.80952380952381,0,80.25882352941177,3,3,5,4
msg_82,node4,node2,316,19000,20115.0,1115.0,75.0,80.25882352941177,,4,,72.33333333333333,0,80.25882352941177,3,3,5,4
msg_83,node4,node3,316,19000,20126.0,1126.0,81.0,80.25882352941177,,4,,86.57142857142857,0,80.25882352941177,3,3,5,4
msg_84,node4,node0,316,19777,19832.0,55.0,52.0,68.1625,,4,,52.75,0,68.1625,8,4,5,4
msg_85,node4,node1,316,19777,19838.0,61.0,62.0,68.0,,4,,60.8,0,68.0,7,4,5,4
msg_86,node4,node2,316,19777,19849.0,72.0,75.0,68.0,,4,,72.35,0,68.0,7,4,5,4
msg_87,node4,node3,316,19777,19860.0,83.0,93.0,68.0,,4,,86.75,0,68.0,7,4,5,4
msg_88,node4,node0,316,22578,22630.0,52.0,100.0,115.5340909090909,,4,,100.36363636363636,0,115.5340909090909,4,4,5,4
msg_89,node4,node1,316,22578,22636.0,58.0,99.0,114.82022471910112,,4,,108.22727272727273,0,114.82022471910112,3,3,5,4
msg_90,node4,node2,316,22578,22647.0,69.0,102.0,114.18888888888888,,4,,119.72727272727273,0,114.18888888888888,2,2,5,4
msg_91,node4,node3,316,22578,22658.0,80.0,107.0,114.18888888888888,,4,,133.8181818181818,0,114.18888888888888,2,2,5,4
msg_92,node4,node0,316,23058,23111.0,53.0,99.0,113.32608695652173,,4,,98.26086956521739,0,113.32608695652173,4,4,5,4
msg_93,node4,node1,316,23058,23117.0,59.0,91.0,112.6774193548387,,4,,106.04347826086956,0,112.6774193548387,3,3,5,4
msg_94,node4,node2,316,23058,23128.0,70.0,94.0,112.6774193548387,,4,,117.52173913043478,0,112.6774193548387,3,3,5,4
msg_95,node4,node3,316,23058,23139.0,81.0,101.0,112.6774193548387,,4,,131.47826086956522,0,112.6774193548387,3,3,5,4
msg_96,node4,node0,316,23302,23354.0,52.0,99.0,111.34375,,4,,96.375,0,111.34375,4,4,5,4
msg_97,node4,node1,316,23302,23360.0,58.0,90.0,110.73195876288659,,4,,104.08333333333333,0,110.73195876288659,3,3,5,4
msg_98,node4,node2,316,23302,23371.0,69.0,84.0,110.1938775510204,,4,,115.54166666666667,0,110.1938775510204,2,2,5,4
msg_99,node4,node3,316,23302,23382.0,80.0,95.0,110.1938775510204,,4,,129.375,0,110.1938775510204,2,2,5,4
msg_100,node4,node0,317,23849,23898.0,49.0,55.0,109.48,,4,,94.6,0,109.48,8,4,5,4
msg_101,node4,node1,317,23849,23909.0,60.0,55.0,109.48,,4,,102.24,0,109.48,8,4,5,4
