real_timestamp,real_datetime,simulation_time_s,relative_real_time_s
1755170196.9804294,2025-08-14 13:16:36.980429,0.0,0.9989490509033203
1755170196.9808095,2025-08-14 13:16:36.980809,1.0,0.9993290901184082
1755170197.1892726,2025-08-14 13:16:37.189273,1.052,1.2077922821044922
1755170200.2146573,2025-08-14 13:16:40.214657,1.058,4.233176946640015
1755170200.217129,2025-08-14 13:16:40.217129,1.069,4.2356486320495605
1755170200.217925,2025-08-14 13:16:40.217925,1.08,4.236444711685181
1755170200.218698,2025-08-14 13:16:40.218698,2.0,4.237217664718628
1755170200.4293723,2025-08-14 13:16:40.429372,2.055,4.4478919506073
1755170204.455184,2025-08-14 13:16:44.455184,2.061,8.473703622817993
1755170204.4568653,2025-08-14 13:16:44.456865,2.072,8.475384950637817
1755170204.4577157,2025-08-14 13:16:44.457716,2.083,8.476235389709473
1755170204.4583788,2025-08-14 13:16:44.458379,3.0,8.476898431777954
1755170208.5161564,2025-08-14 13:16:48.516156,3.054,12.53467607498169
1755170208.5167258,2025-08-14 13:16:48.516726,3.06,12.535245418548584
1755170208.5169902,2025-08-14 13:16:48.516990,3.071,12.535509824752808
1755170208.517265,2025-08-14 13:16:48.517265,3.082,12.535784721374512
1755170208.517491,2025-08-14 13:16:48.517491,4.0,12.5360107421875
1755170208.7644806,2025-08-14 13:16:48.764481,4.052,12.783000230789185
1755170212.794054,2025-08-14 13:16:52.794054,4.058,16.812573671340942
1755170212.795585,2025-08-14 13:16:52.795585,4.069,16.814104557037354
1755170212.7966573,2025-08-14 13:16:52.796657,4.08,16.815176963806152
1755170212.7974677,2025-08-14 13:16:52.797468,5.0,16.81598734855652
1755170216.8588533,2025-08-14 13:16:56.858853,5.054,20.877372980117798
1755170216.8601415,2025-08-14 13:16:56.860142,5.06,20.878661155700684
1755170216.8611763,2025-08-14 13:16:56.861176,5.071,20.879695892333984
1755170216.8620815,2025-08-14 13:16:56.862082,5.082,20.880601167678833
1755170216.8630269,2025-08-14 13:16:56.863027,6.0,20.88154649734497
1755170217.113749,2025-08-14 13:16:57.113749,6.053,21.13226866722107
1755170221.1387694,2025-08-14 13:17:01.138769,6.059,25.157289028167725
1755170221.139304,2025-08-14 13:17:01.139304,6.07,25.15782356262207
1755170221.1397967,2025-08-14 13:17:01.139797,6.081,25.158316373825073
1755170221.140116,2025-08-14 13:17:01.140116,7.0,25.15863561630249
1755170225.2469385,2025-08-14 13:17:05.246938,7.053,29.26545810699463
1755170225.2484872,2025-08-14 13:17:05.248487,7.059,29.267006874084473
1755170225.2492862,2025-08-14 13:17:05.249286,7.07,29.267805814743042
1755170225.2499666,2025-08-14 13:17:05.249967,7.081,29.268486261367798
1755170225.2506516,2025-08-14 13:17:05.250652,8.0,29.269171237945557
1755170225.4799948,2025-08-14 13:17:05.479995,8.053,29.498514413833618
1755170229.5080776,2025-08-14 13:17:09.508078,8.059,33.52659726142883
1755170229.5095563,2025-08-14 13:17:09.509556,8.07,33.52807593345642
1755170229.5104854,2025-08-14 13:17:09.510485,8.081,33.52900505065918
1755170229.511342,2025-08-14 13:17:09.511342,9.0,33.52986168861389
1755170233.5599382,2025-08-14 13:17:13.559938,9.054,37.578457832336426
1755170233.5605924,2025-08-14 13:17:13.560592,9.06,37.57911205291748
1755170233.5610318,2025-08-14 13:17:13.561032,9.071,37.579551458358765
1755170233.5613065,2025-08-14 13:17:13.561306,9.082,37.57982611656189
1755170233.5615427,2025-08-14 13:17:13.561543,10.0,37.58006238937378
1755170233.7774062,2025-08-14 13:17:13.777406,10.052,37.7959258556366
1755170237.806016,2025-08-14 13:17:17.806016,10.058,41.824535608291626
1755170237.8073084,2025-08-14 13:17:17.807308,10.069,41.825828075408936
1755170237.8081439,2025-08-14 13:17:17.808144,10.08,41.82666349411011
1755170237.8088481,2025-08-14 13:17:17.808848,11.0,41.82736778259277
1755170249.913632,2025-08-14 13:17:29.913632,11.054,53.932151556015015
1755170249.9153872,2025-08-14 13:17:29.915387,11.06,53.93390679359436
1755170249.916246,2025-08-14 13:17:29.916246,11.071,53.934765577316284
1755170249.9171236,2025-08-14 13:17:29.917124,11.082,53.93564319610596
1755170249.918048,2025-08-14 13:17:29.918048,12.0,53.936567544937134
