msg_id,sender,receiver,size_B,time_send_ms,time_receive_ms,delay_ms
node1_0,node1,node0,8,60000,60053.0,53.0
node2_0,node2,node0,8,60000,60054.0,54.0
node3_0,node3,node0,8,60000,60048.0,48.0
node4_0,node4,node0,8,60000,60047.0,47.0
node0_0,node0,node3,8,65048,65095.0,47.0
node0_1,node0,node1,8,65053,65106.0,53.0
node1_1,node1,node0,8,120000,120053.0,53.0
node2_1,node2,node0,8,120000,120054.0,54.0
node3_1,node3,node0,8,120000,120047.0,47.0
node4_1,node4,node0,8,120000,120048.0,48.0
node0_2,node0,node3,8,125047,125094.0,47.0
node0_3,node0,node1,8,125053,125105.0,52.0
node0_4,node0,node2,8,125054,125116.0,62.0
node1_2,node1,node0,8,180000,180053.0,53.0
node2_2,node2,node0,8,180000,180054.0,54.0
node3_2,node3,node0,8,180000,180047.0,47.0
node4_2,node4,node0,8,180000,180048.0,48.0
node0_5,node0,node1,8,185053,185101.0,48.0
node0_6,node0,node2,8,185054,185112.0,58.0
node1_3,node1,node0,8,240000,240054.0,54.0
node2_3,node2,node0,8,240000,240053.0,53.0
node3_3,node3,node0,8,240000,240048.0,48.0
node4_3,node4,node0,8,240000,240047.0,47.0
node0_7,node0,node4,8,245047,245095.0,48.0
node0_8,node0,node3,8,245048,245106.0,58.0
node0_9,node0,node2,8,245053,245117.0,64.0
node1_4,node1,node0,8,300000,300053.0,53.0
node2_4,node2,node0,8,300000,300054.0,54.0
node3_4,node3,node0,8,300000,300055.0,55.0
node4_4,node4,node0,8,300000,300047.0,47.0
node0_10,node0,node1,8,305053,305112.0,59.0
node0_11,node0,node3,8,305055,305101.0,46.0
node1_5,node1,node0,8,360000,360053.0,53.0
node2_5,node2,node0,8,360000,360054.0,54.0
node3_5,node3,node0,8,360000,360047.0,47.0
node4_5,node4,node0,8,360000,360048.0,48.0
node0_12,node0,node3,8,365047,365105.0,58.0
node0_13,node0,node4,8,365048,365094.0,46.0
node0_14,node0,node1,8,365053,365116.0,63.0
node1_6,node1,node0,8,420000,420054.0,54.0
node2_6,node2,node0,8,420000,420059.0,59.0
node3_6,node3,node0,8,420000,420053.0,53.0
node4_6,node4,node0,8,420000,420047.0,47.0
node0_15,node0,node4,8,425047,425094.0,47.0
node0_16,node0,node2,8,425059,425113.0,54.0
node1_7,node1,node0,8,480000,480054.0,54.0
node2_7,node2,node0,8,480000,480053.0,53.0
node3_7,node3,node0,8,480000,480048.0,48.0
node4_7,node4,node0,8,480000,480047.0,47.0
node0_17,node0,node4,8,485047,485095.0,48.0
node0_18,node0,node3,8,485048,485106.0,58.0
node0_19,node0,node2,8,485053,485128.0,75.0
node0_20,node0,node1,8,485054,485117.0,63.0
node1_8,node1,node0,8,540000,540054.0,54.0
node2_8,node2,node0,8,540000,540053.0,53.0
node3_8,node3,node0,8,540000,540047.0,47.0
node4_8,node4,node0,8,540000,540048.0,48.0
node0_21,node0,node3,8,545047,545105.0,58.0
node0_22,node0,node4,8,545048,545094.0,46.0
node0_23,node0,node2,8,545053,545116.0,63.0
node1_9,node1,node0,8,600000,600053.0,53.0
node2_9,node2,node0,8,600000,600059.0,59.0
node3_9,node3,node0,8,600000,600047.0,47.0
node4_9,node4,node0,8,600000,600048.0,48.0
node0_24,node0,node3,8,605047,605095.0,48.0
node0_25,node0,node2,8,605059,605113.0,54.0
node1_10,node1,node0,8,660000,660053.0,53.0
node2_10,node2,node0,8,660000,660054.0,54.0
node3_10,node3,node0,8,660000,660047.0,47.0
node4_10,node4,node0,8,660000,660048.0,48.0
node0_26,node0,node3,8,665047,665105.0,58.0
node0_27,node0,node4,8,665048,665094.0,46.0
node0_28,node0,node1,8,665053,665116.0,63.0
node0_29,node0,node2,8,665054,665127.0,73.0
node1_11,node1,node0,8,720000,720053.0,53.0
node2_11,node2,node0,8,720000,720054.0,54.0
node3_11,node3,node0,8,720000,720048.0,48.0
node4_11,node4,node0,8,720000,720047.0,47.0
node0_30,node0,node3,8,725048,725095.0,47.0
node1_12,node1,node0,8,780000,780053.0,53.0
node2_12,node2,node0,8,780000,780054.0,54.0
node3_12,node3,node0,8,780000,780048.0,48.0
node4_12,node4,node0,8,780000,780047.0,47.0
node0_31,node0,node2,8,785054,785107.0,53.0
node1_13,node1,node0,8,840000,840053.0,53.0
node2_13,node2,node0,8,840000,840054.0,54.0
node3_13,node3,node0,8,840000,840047.0,47.0
node4_13,node4,node0,8,840000,840048.0,48.0
node0_32,node0,node3,8,845047,845106.0,59.0
node0_33,node0,node4,8,845048,845095.0,47.0
node0_34,node0,node2,8,845054,845117.0,63.0
node1_14,node1,node0,8,900000,900054.0,54.0
node2_14,node2,node0,8,900000,900053.0,53.0
node3_14,node3,node0,8,900000,900047.0,47.0
node4_14,node4,node0,8,900000,900048.0,48.0
node0_35,node0,node4,8,905048,905095.0,47.0
node1_15,node1,node0,8,960000,960054.0,54.0
node2_15,node2,node0,8,960000,960053.0,53.0
node3_15,node3,node0,8,960000,960047.0,47.0
node4_15,node4,node0,8,960000,960048.0,48.0
node0_36,node0,node4,8,965048,965095.0,47.0
node0_37,node0,node2,8,965053,965107.0,54.0
node1_16,node1,node0,8,1020000,1020054.0,54.0
node2_16,node2,node0,8,1020000,1020053.0,53.0
node3_16,node3,node0,8,1020000,1020047.0,47.0
node4_16,node4,node0,8,1020000,1020048.0,48.0
node0_38,node0,node3,8,1025047,1025105.0,58.0
node0_39,node0,node4,8,1025048,1025094.0,46.0
node0_40,node0,node2,8,1025053,1025116.0,63.0
node1_17,node1,node0,8,1080000,1080054.0,54.0
node2_17,node2,node0,8,1080000,1080053.0,53.0
node3_17,node3,node0,8,1080000,1080048.0,48.0
node4_17,node4,node0,8,1080000,1080047.0,47.0
node0_41,node0,node4,8,1085047,1085095.0,48.0
node0_42,node0,node1,8,1085054,1085106.0,52.0
node1_18,node1,node0,8,1140000,1140053.0,53.0
node2_18,node2,node0,8,1140000,1140059.0,59.0
node3_18,node3,node0,8,1140000,1140048.0,48.0
node4_18,node4,node0,8,1140000,1140047.0,47.0
node0_43,node0,node4,8,1145047,1145095.0,48.0
node0_44,node0,node3,8,1145048,1145106.0,58.0
node0_45,node0,node1,8,1145053,1145117.0,64.0
node1_19,node1,node0,8,1200000,1200053.0,53.0
node2_19,node2,node0,8,1200000,1200054.0,54.0
node3_19,node3,node0,8,1200000,1200048.0,48.0
node4_19,node4,node0,8,1200000,1200047.0,47.0
node0_46,node0,node4,8,1205047,1205095.0,48.0
node1_20,node1,node0,8,1260000,1260053.0,53.0
node2_20,node2,node0,8,1260000,1260054.0,54.0
node3_20,node3,node0,8,1260000,1260048.0,48.0
node4_20,node4,node0,8,1260000,1260047.0,47.0
node0_47,node0,node4,8,1265047,1265095.0,48.0
node0_48,node0,node3,8,1265048,1265106.0,58.0
node1_21,node1,node0,8,1320000,,
node2_21,node2,node0,8,1320000,,
node3_21,node3,node0,8,1320000,1320048.0,48.0
node4_21,node4,node0,8,1320000,1320047.0,47.0
